,address,lat,long
217,경기도 성남시 분당구 야탑로 59(야탑동),37.4102384,127.1254535
218,경기도 성남시 분당구서현로180번길20(서현동),37.3882035,127.1217783
219,경기 성남시 수정구 신흥동 3435 수정구보건소 218,37.4443564,127.1440855
220,성남시 수정구 수정로 171번길 10,37.4450622,127.1391
221,수정구 수정로 76,37.4398589,127.1290046
222,경기도 수원시 권선구 탑동 910,37.2584248,126.971241
223,경기 시흥시 대야동 484-3 (호현로55),37.4454933,126.785352
224,시흥시 옥구천서로 337,37.3529459,126.7245975
225,시흥시 복지로 57,37.4445152,126.7894932
226,시흥시 공단1대로 237,37.3369084,126.7281267
227,시흥시 정왕대로233번길 19,37.3466661,126.7401008
228,경기 안산시 단원구 초지동 666-8 안산시 단원보건소,37.3208689,126.8152042
229,경기도 안산시 단원구 적금로 123,37.3185144,126.8249033
230,경기 안산시 상록구 사1동  1584,,
231,안산시 상록구 상록구 구룡로 87,,
232,경기 안성시 도기동  67-21,37.0001785,127.2699595
233,경기도 안성시 남파로 95(당왕동),37.0173531,127.2603668
234,안성시 시장길 58(서인동),37.0062179,127.2709213
235,경기 안양시 동안구 비산동 1111번지,37.3925246,126.9514535
236,안양시 동안구 관평로 170번길11,37.3925598,126.9613075
237,"경기 양주시 남방동(양주1동) 1-1 양주시보건소,양주시의회,양주시청 양주시보건소",,
238,경기 양평군 양평읍 양근리 마유산로 17번지,,
239,경기도 양평군 양평읍 중앙로 129,37.4938653,127.5035413
240,경기 여주시 상동 358-3 여주시보건소,37.2942077,127.6397171
241,경기도 여주시 청심로 39,37.301484,127.6253003
242,경기도 오산시 오산동 25,37.1594832,127.0778204
243,오산시 밀머리로1번길 16,37.1413334,127.075277
244,경기 부천시 중동(중2동) 1119 부천시보건소,,
245,경기도 부천시 조마루로 17,37.5024409,126.7452415
246,경기도 부천시 소사로 327,37.4871165,126.7924167
247,경기도 부천시 호현로 489번길 28,37.4810179,126.791225
248,경기 의왕시 오봉로 34,37.343747,126.9720917
249,의왕시 오전천로 29,37.3502814,126.9767992
250,경기 의정부시 범골로131 의정부시보건소 ,37.7361922,127.039587
251,의정부시 흥선로 142,37.741161,127.0425004
252,의정부시 천보로 271,37.7587045,127.0777625
253,경기도 의정부시 평화로 650,37.749733,127.0451394
254,경기도 의정부시 금신로  322,37.7453263,127.0622375
255,경기 이천시 증포동 152-2,37.2888735,127.4523023
256,경기도 이천시 경충대로 2742,37.2827618,127.4325729
257,경기 고양시 일산서구 일산동 일중로 54,,
258,경기 고양시 일산서구 주화로 170,37.6743138,126.7504331
259,경기 수원시 장안구 조원동 888번지,37.3037631,127.0100775
260,수원시 장안구 수성로245번길 69,37.2918917,126.9963375
261,경기 성남시 중원구 상대원1동 269-10,37.4419719,127.17061
